,bitcoin_price,bitcoin_price_after_10_days,title,date,10_day_difference
171,439.84,433.66,Bitcoin Roundtable Consensus,2016-02-21,-6.17999999999995
172,431.76,397.92,Mike Hearn Quits Bitcoin (a.k.a The Hearnia),2016-01-14,-33.839999999999975
173,397.52,461.05,Gwern and WIRED Claim Craig Wright is Probably Satoshi Nakamoto,2015-12-08,63.53000000000003
174,383.16,334.73,Bitcoin Sign Accepted into Unicode,2015-11-03,-48.43000000000001
175,323.35,366.67,Bitcoin Featured on Front Page of The Economist,2015-10-31,43.31999999999999
176,273.82,318.43,EU Declares No VAT on Bitcoin Trades,2015-10-22,44.610000000000014
177,245.48,268.01,Gemini Exchange Launched,2015-10-08,22.53
178,234.65,238.15,Bitcoin declared as a commodity by the US regulator,2015-09-18,3.5
179,267.24,214.3,Bitcoin XT Fork Released,2015-08-15,-52.94
180,283.04,267.19,Mark Karpeles Arrested,2015-08-01,-15.850000000000023
181,260.73,291.66,2 Federal Agents Plead Guilty to Silk Road Theft,2015-07-01,30.930000000000007
182,226.9,232.05,New York State Releases the BitLicense,2015-06-03,5.150000000000006
183,234.31,238.22,Ross Ulbricht Sentenced to Life in Prison,2015-05-19,3.9099999999999966
184,281.26,222.85,Coinbase Launches US Licensed Exchange,2015-01-26,-58.41
185,275.07,198.59,Bitstamp Hacked,2015-01-04,-76.47999999999999
186,313.38,317.06,Charlie Shrem Sentenced to 2 Years in Prison,2014-12-19,3.680000000000007
187,352.56,324.87,Microsoft Accepts Bitcoin,2014-12-11,-27.689999999999998
188,323.47,387.4,The Slaying of BearWhale,2014-10-06,63.92999999999995
189,473.02,439.52,Paypal Subsidiary Braintree to Accept Bitcoin,2014-09-08,-33.5
190,624.1,582.88,Dell Accepts Bitcoin,2014-07-18,-41.22000000000003
191,619.9,595.49,New York DFS Releases Proposed “BitLicense”,2014-07-17,-24.409999999999968
192,596.8,628.5,"US Marshals Service Auctions 29,656 Seized Bitcoins",2014-06-27,31.700000000000045
193,598.0,592.28,Mining Pool GHash.io Reaches 51%,2014-06-13,-5.720000000000027
194,408.25,501.7,Chinese Exchanges' Bank Accounts Closed,2014-04-10,93.44999999999999
195,581.52,453.05,IRS Declares Bitcoin To Be Taxed As Property,2014-03-26,-128.46999999999997
196,662.57,631.25,Newsweek Claims Dorian Nakamoto is Bitcoin's Creator,2014-03-06,-31.32000000000005
197,547.09,662.57,Mt. Gox Closes,2014-02-24,115.48000000000002
198,717.83,626.5,Major Exchanges Hit With DDoS Attacks,2014-02-07,-91.33000000000004
199,1022.37,839.93,Chinese Government Bans Financial Institutions From Using Bitcoin,2013-12-05,-182.44000000000005
200,1132.26,921.97,"Exchange Rate Peaks at $1,242 on Mt. Gox",2013-11-29,-210.28999999999996
201,641.23,1075.16,People’s Bank of China OK's Bitcoin,2013-11-20,433.93000000000006
202,685.75,1072.83,US Senate Holds Hearing On Bitcoin,2013-11-18,387.0799999999999
203,133.03,135.12,Dread Pirate Roberts Arrested,2013-10-01,2.0900000000000034
204,131.48,126.94,Tradehill Shuts Down (Again),2013-08-30,-4.539999999999992
205,114.33,128.8,DHS Seizure Warrant Against Mt. Gox,2013-05-14,14.470000000000013
206,181.66,122.9,Increased Trading Volume Breaks Mt. Gox,2013-04-10,-58.75999999999999
207,74.02,131.07,Cyprus Bail-In,2013-03-25,57.05
208,47.41,68.89,Bitcoin 0.8 Causes Brief Hard Fork,2013-03-11,21.480000000000004
209,12.25,13.43,Halving Day,2012-11-28,1.1799999999999997
210,11.04,12.46,Wordpress Accepts Bitcoin,2012-11-15,1.4200000000000017
211,13.31,11.18,Bitcoins Savings & Trust Halts Payments,2012-08-17,-2.130000000000001
212,4.92,4.89,"Linode Hacked, Over 46,000 BTC Stolen",2012-03-01,-0.03000000000000025
213,5.7,4.31,Paxum and Tradehill Drop Bitcoin,2012-02-11,-1.3900000000000006
214,3.41,4.22,"""The Good Wife"" Airs ""Bitcoin for Dummies"" TV Episode",2011-12-19,0.8099999999999996
215,17.77,16.88,Mt. Gox Hacked,2011-06-19,-0.8900000000000006
216,9.21,17.61,Gawker Publishes Article About The Silk Road,2011-06-01,8.399999999999999
217,0.83,0.72,Three New Exchanges Open Supporting More Fiat Currencies,2011-03-27,-0.10999999999999999
218,0.96,0.91,Bitcoin Price Hits $1.00 USD,2011-02-09,-0.04999999999999993
219,0.19,0.26,First mainstream article on Bitcoin in PC World,2010-12-10,0.07
220,0.07,0.07,Bitcoin Protocol Bug Causes Hard Fork,2010-08-15,0.0
221,0.07,0.06,Mt. Gox Opens For Business,2010-07-18,-0.010000000000000009
222,,,Bitcoin Posted on Slashdot,2010-07-11,
223,,,Two Pizzas Are First Material Item Purchased Using Bitcoin,2010-05-22,
224,,,The First Bitcoin-to-Fiat Exchange Occurs,2009-10-12,
225,,,New Liberty Standard Publishes First Exchange Rate,2009-10-05,
226,,,Genesis Block Established,2009-01-03,
