created_at,text,user,retweet_count,favorite_count,followers,is_verified,clean_text,sentiment
Sun Sep 29 18:44:25 +0000 2024,"Yoooo. This is HUGE The can no longer deny , $XRP , &amp; My guy  w/ the news!",james_six8jay,16,64,13660,False,"Yoooo. This is HUGE The can no longer deny , $XRP , &amp; My guy w/ the news!",Positive
Sun Sep 29 18:25:43 +0000 2024,Looks like $XRP is ready to make history. Seems is moving up on the charts Add the launch of s And the Future looks bright!!! $XRP is the Chosen One,james_six8jay,2,18,13660,False,Looks like $XRP is ready to make history. Seems is moving up on the charts Add the launch of s And the Future looks bright!!! $XRP is the Chosen One,Positive
Sun Sep 29 16:23:27 +0000 2024,is on FIRE Retweet if you are still holding your $XRP,zainhaider332,67,404,38147,False,is on FIRE Retweet if you are still holding your $XRP,Positive
Sun Sep 29 16:03:35 +0000 2024,I have to go to a birthday party so I will be out for the night . Weekly and daily closes are important. You mfs just destroyed my night . $XRP,Doctor_Magic_,2,43,11127,False,I have to go to a birthday party so I will be out for the night . Weekly and daily closes are important. You mfs just destroyed my night . $XRP,Negative
Sun Sep 29 15:56:52 +0000 2024,Ripple / Step by step to the goal $Ripple $Xrp,Cryptosahintas,7,68,221180,False,Ripple / Step by step to the goal $Ripple $Xrp,Positive
Sun Sep 29 15:54:38 +0000 2024,"Very excited about the partnership in . This kind of partnership is rare. Only big companies will enter. There comes a time when $WadzPay will be on the same level as , , , and . $WTK",Malaika_808,10,55,876,False,"Very excited about the partnership in . This kind of partnership is rare. Only big companies will enter. There comes a time when $WadzPay will be on the same level as , , , and . $WTK",Positive
Sun Sep 29 15:50:28 +0000 2024,Where are those who was laughing when I said $xrp will getting ready for huge breakout $XRP Breaking Out! has been in this weekly consolidation for 146 weeks We are finally experiencing a huge break out! This looks BULLISH for !,RemillioAzuki,5,43,2149,False,Where are those who was laughing when I said $xrp will getting ready for huge breakout $XRP Breaking Out! has been in this weekly consolidation for 146 weeks We are finally experiencing a huge break out! This looks BULLISH for !,Positive
Sun Sep 29 15:33:25 +0000 2024,Big news coming for XRP? Price action says yes $xrp,Utoday_en,3,24,95214,False,Big news coming for XRP? Price action says yes $xrp,Positive
Sun Sep 29 14:55:45 +0000 2024,.64 and the SEC has only 8 days left to appeal the settlement!,Zenakuu1989,3,18,3064,False,.64 and the SEC has only 8 days left to appeal the settlement!,Positive
Sun Sep 29 14:49:21 +0000 2024,$XRP bull run started,CryptoNewton,27,200,273432,False,$XRP bull run started,Positive
Sun Sep 29 14:00:48 +0000 2024,"Could Davinci have been ahead of the game with his $XRP prediction? I've always thought it was ""convenient"" to launch the $RLUSD around the beginning of the final leg of the bull run.",WorkingMoneyCH,14,61,44215,,"Could Davinci have been ahead of the game with his $XRP prediction? I've always thought it was ""convenient"" to launch the $RLUSD around the beginning of the final leg of the bull run.",Neutral
Sun Sep 29 12:28:10 +0000 2024,$XRP WILL F*CK EVERYONE IN 7 DAYS (SELL THIS NOW),LeviRietveld,14,123,172353,,$XRP WILL F*CK EVERYONE IN 7 DAYS (SELL THIS NOW),Negative
Sun Sep 29 12:25:00 +0000 2024,Secret  AI Play invested in an company called Skyfire Systems  on August 21st 2024 but they kept it quiet. The company is an AI chat bot payment system headed by two ex Ripple employees.,Crypt0Senseii,3,21,58781,,Secret AI Play invested in an company called Skyfire Systems on August 21st 2024 but they kept it quiet. The company is an AI chat bot payment system headed by two ex Ripple employees.,Positive
Sun Sep 29 11:50:00 +0000 2024,has acquired to dominate multiple trillion-dollar markets: 1 Tokenization 2 Seamless integration with payments and liquidity 3 Digital custody for tokenized assets like 4 Digital asset insurance 5 Tokenized securities is digital gold!,CollinBrownXRP,109,383,11096,,has acquired to dominate multiple trillion-dollar markets: 1 Tokenization 2 Seamless integration with payments and liquidity 3 Digital custody for tokenized assets like 4 Digital asset insurance 5 Tokenized securities is digital gold!,Positive
Sun Sep 29 11:32:46 +0000 2024,WOW! Mastercard CEO Michael Miesbach says: SWIFT may not exist in 5 years. Mastercard has already partnered with in the past Coincidence?,_Crypto_Barbie,107,374,102380,,WOW! Mastercard CEO Michael Miesbach says: SWIFT may not exist in 5 years. Mastercard has already partnered with in the past Coincidence?,Positive
Sun Sep 29 09:40:42 +0000 2024,mints $350'000 stablecoins in 24 hour milestone,JayXRP2,6,37,12805,,mints $350'000 stablecoins in 24 hour milestone,Positive
Sun Sep 29 07:31:58 +0000 2024,"Ngl, $XRP monthly chart looks bullish F Then i see all the bot accounts shilling nonstop on Twitter Looks like marketing is underway Not complaining, i need my exit pump! LFG Pamp it",cloud9markets,1,38,18728,,"Ngl, $XRP monthly chart looks bullish F Then i see all the bot accounts shilling nonstop on Twitter Looks like marketing is underway Not complaining, i need my exit pump! LFG Pamp it",Positive
Sun Sep 29 06:40:23 +0000 2024,"$XRP is currently breaking out but keep it together fellas, I know that holders have been waiting for ages but keep your emotions controlled. We want to see a sustainable move here , next days we will have a better view so far this is promising.",Doctor_Magic_,44,245,11127,,"$XRP is currently breaking out but keep it together fellas, I know that holders have been waiting for ages but keep your emotions controlled. We want to see a sustainable move here , next days we will have a better view so far this is promising.",Positive
Sun Sep 29 06:33:11 +0000 2024,And I also diversified my crypto portfolio children. Never put all your eggs in one basket.,Str8scope,6,26,500,,And I also diversified my crypto portfolio children. Never put all your eggs in one basket.,Neutral
Sun Sep 29 04:07:30 +0000 2024,"1D symmetrical triangle! If we break out to the upside, might reach $0,9 (+49%)",transfer_big,4,20,2736,,"1D symmetrical triangle! If we break out to the upside, might reach $0,9 (+49%)",Positive
Sun Sep 29 02:52:03 +0000 2024,CRYPTO KABOOMFEDERAL RESERVE INVITES RIPPLE EXEC TO SPECIAL EVENTWHO IS AT FED RESERVE?,CryptoHulk19,106,553,52593,,CRYPTO KABOOMFEDERAL RESERVE INVITES RIPPLE EXEC TO SPECIAL EVENTWHO IS AT FED RESERVE?,Positive
Sun Sep 29 02:44:09 +0000 2024,CRYPTO FACE SCANS COMING TO LATIN AMERICA AND CARIBBEANARE YOU READY?,CryptoHulk19,13,69,52593,,CRYPTO FACE SCANS COMING TO LATIN AMERICA AND CARIBBEANARE YOU READY?,Positive
Sun Sep 29 02:34:52 +0000 2024,CRYPTO BREAKING GLOBAL MONEY SENDER SWIFT JUST CHOSE RHIS CRYPTO COMPANYMOON!!,CryptoHulk19,28,178,52593,,CRYPTO BREAKING GLOBAL MONEY SENDER SWIFT JUST CHOSE RHIS CRYPTO COMPANYMOON!!,Positive
Sun Sep 29 02:29:30 +0000 2024,Have you seen the logo ? It looks good on $POZ $XRP ,CryptoRed3ye,0,9,3298,,Have you seen the logo ? It looks good on $POZ $XRP,Positive
Sun Sep 29 02:26:34 +0000 2024,CRYPTO EXPLOSIONWELLS FARGO JOINS RIPPLE PARTNER FISERV TO UTILIZE XRP GLOBAL PAYMENTS!,CryptoHulk19,77,361,52593,,CRYPTO EXPLOSIONWELLS FARGO JOINS RIPPLE PARTNER FISERV TO UTILIZE XRP GLOBAL PAYMENTS!,Positive
Sun Sep 29 00:43:43 +0000 2024,"Remember this post when the Mastercard CEO said Mastercard was partnering with Central Banks in helping them Research digital Currencies, teaming up with Key Blockchain/Web3 Players, with Ripple being one of them?",MetaMan_X,9,22,11000,,"Remember this post when the Mastercard CEO said Mastercard was partnering with Central Banks in helping them Research digital Currencies, teaming up with Key Blockchain/Web3 Players, with Ripple being one of them?",Positive
Sun Sep 29 00:42:23 +0000 2024,NotFinancialAdvice() WHY TO HOLD 's WATCH THE VIDEO,XPHOENIXDRAGON,1,12,103725,,NotFinancialAdvice() WHY TO HOLD 's WATCH THE VIDEO,Neutral
Sun Sep 29 00:02:16 +0000 2024,"JUST IN: Ripple Mints Massive 350,000 Stablecoins Within 24 Hours! The mint was done in two transactions of 300,000 RLUSD and 50,000 RLUSD Comment Below &amp; Follow For More!!",AbsGMCrypto,100,459,61290,,"JUST IN: Ripple Mints Massive 350,000 Stablecoins Within 24 Hours! The mint was done in two transactions of 300,000 RLUSD and 50,000 RLUSD Comment Below &amp; Follow For More!!",Positive
Sat Sep 28 23:24:22 +0000 2024,"JUST IN: $RLUSD LISTED ON COINBASE, BUT NOT YET TRADABLE!",AbsGMCrypto,124,514,61290,,"JUST IN: $RLUSD LISTED ON COINBASE, BUT NOT YET TRADABLE!",Neutral
Sat Sep 28 23:00:22 +0000 2024,"ICYMI: mints massive 350,000 $RLUSD stablecoins in just 24 hours",Utoday_en,1,15,95214,,"ICYMI: mints massive 350,000 $RLUSD stablecoins in just 24 hours",Neutral
Sat Sep 28 21:40:03 +0000 2024,"Performs $350,000 RLUSD Stablecoin Mint In 24 Hours",XRPcryptowolf,31,133,403431,,"Performs $350,000 RLUSD Stablecoin Mint In 24 Hours",Positive
Sat Sep 28 21:05:59 +0000 2024,"Yes,  Agreed. want to help the banks not to destroy the bank. For faster and cheaper payment system installation",nitinp1974,2,22,2044,,"Yes, Agreed. want to help the banks not to destroy the bank. For faster and cheaper payment system installation",Positive
Sat Sep 28 21:02:01 +0000 2024,"In a landmark development,  has minted a total of 350,000 within a 24-hour period. Meanwhile , RLUSD is now also listed on , one of the leading data aggregators. Read more ...",digitalpoundfdn,487,1569,52289,,"In a landmark development, has minted a total of 350,000 within a 24-hour period. Meanwhile , RLUSD is now also listed on , one of the leading data aggregators. Read more ...",Positive
Sat Sep 28 19:29:11 +0000 2024,... RLUSD has been added to CoinGecko...,RipVanWizard,4,18,5994,,... RLUSD has been added to CoinGecko...,Neutral
Sat Sep 28 19:19:01 +0000 2024,Is on the way to replace the FED? Brad Garlinghouse &amp; Chris Larsen are about to appear at a Federal Reserve Event in October 22-23. And Jerome Powell said that theyre investing heavily right now in building a new settlement system for instant payments in the US -,_Crypto_Barbie,252,978,102380,,Is on the way to replace the FED? Brad Garlinghouse &amp; Chris Larsen are about to appear at a Federal Reserve Event in October 22-23. And Jerome Powell said that theyre investing heavily right now in building a new settlement system for instant payments in the US -,Positive
Sat Sep 28 19:05:58 +0000 2024,When RLUSD? . . . What effect will the stablecoin have on XRP price?,MetaMan_X,4,36,11000,,When RLUSD? . . . What effect will the stablecoin have on XRP price?,Neutral
Sat Sep 28 18:36:50 +0000 2024,Kabooooom! Exciting news with being listed on Coingecko! The price reveal is eagerly awaited. Keep those eyes peeled!,Brett_Crypto_X,54,242,92220,,Kabooooom! Exciting news with being listed on Coingecko! The price reveal is eagerly awaited. Keep those eyes peeled!,Positive
Sat Sep 28 18:32:51 +0000 2024,BREAKING Listed On Coingecko. Price Will Be Available Soon,UniverseTwenty,112,527,119999,,BREAKING Listed On Coingecko. Price Will Be Available Soon,Positive
Sat Sep 28 17:59:42 +0000 2024,F*CK THE SEC F*CK GARY GENSLER VIVA RIPPLE VIVA $XRP,cryptoassetsguy,6,59,49827,,F*CK THE SEC F*CK GARY GENSLER VIVA RIPPLE VIVA $XRP,Positive
Sat Sep 28 16:29:38 +0000 2024,How Could Lose Against An SEC Appeal On Ruling,UniverseTwenty,23,70,119999,,How Could Lose Against An SEC Appeal On Ruling,Negative
Sat Sep 28 15:44:37 +0000 2024,Flooding while pops? Get out of here. $xrp,RalstonMax,0,18,4212,,Flooding while pops? Get out of here. $xrp,Negative
Sat Sep 28 14:22:35 +0000 2024,From Polysign to Ripples Senior Vice President of Stablecoins Jack McDonald . . .,MetaMan_X,2,15,11000,,From Polysign to Ripples Senior Vice President of Stablecoins Jack McDonald . . .,Neutral
Sat Sep 28 14:10:42 +0000 2024,20 likes = 12H heatmaps 50 likes = 7D heatmaps 80 likes = 1M heatmaps Get 15% discount on monthly &amp; yearly plans,lborderpulse,0,9,3675,,20 likes = 12H heatmaps 50 likes = 7D heatmaps 80 likes = 1M heatmaps Get 15% discount on monthly &amp; yearly plans,Neutral
Sat Sep 28 14:04:50 +0000 2024,"So what really happened with Polysign? Anyone remember Polysign, PolySign developed our own institutional-grade custody solution.",MetaMan_X,2,21,11000,,"So what really happened with Polysign? Anyone remember Polysign, PolySign developed our own institutional-grade custody solution.",Neutral
Sat Sep 28 13:56:03 +0000 2024,Keeping an eye on this: $XRP Moves Past $0.62 Overnight &amp;  Trust DOUBLES Since Launch!,WorkingMoneyCH,42,177,44215,,Keeping an eye on this: $XRP Moves Past $0.62 Overnight &amp; Trust DOUBLES Since Launch!,Positive
Sat Sep 28 12:35:14 +0000 2024,"is also trading within this 1D symmetrical triangle! If we break out to the upside, might reach $0,9 (+49%)",TheMoonCarl,221,965,1506181,,"is also trading within this 1D symmetrical triangle! If we break out to the upside, might reach $0,9 (+49%)",Positive
Sat Sep 28 12:33:43 +0000 2024,"Boom Ripple Performs Massive 350,000 RLUSD Stablecoin Mint in 24 Hours The mint was done in two transactions of 300,000 RLUSD and 50,000 RLUSD as reported by Ripple stablecoin tracker.",MackAttackXRP,39,125,124101,,"Boom Ripple Performs Massive 350,000 RLUSD Stablecoin Mint in 24 Hours The mint was done in two transactions of 300,000 RLUSD and 50,000 RLUSD as reported by Ripple stablecoin tracker.",Positive
Sat Sep 28 12:30:25 +0000 2024,"WOW! CEO Brad Garlinghouse and cofounder Chris Larsen are set to appear at Federal Reserve Event! The event will take place at October 22 and 23, exactly at the same time as the BRICS summit!",_Crypto_Barbie,244,1001,102380,,"WOW! CEO Brad Garlinghouse and cofounder Chris Larsen are set to appear at Federal Reserve Event! The event will take place at October 22 and 23, exactly at the same time as the BRICS summit!",Positive
Sat Sep 28 11:58:58 +0000 2024,"mints massive 350,000 in just 24 hours",Utoday_en,10,32,95214,,"mints massive 350,000 in just 24 hours",Positive
Sat Sep 28 11:23:04 +0000 2024,$XRP WILL F*CK EVERYONE IN 7 DAYS (SELL THIS NOW),LeviRietveld,53,358,172353,,$XRP WILL F*CK EVERYONE IN 7 DAYS (SELL THIS NOW),Negative
Sat Sep 28 11:19:45 +0000 2024,Another way to look at it is this trendline from the top in March. What do you think lads ? $XRP,Doctor_Magic_,6,81,11127,,Another way to look at it is this trendline from the top in March. What do you think lads ? $XRP,Neutral
Sat Sep 28 10:44:46 +0000 2024,"XRP Surges Past $0.60 as SEC Declines to Appeal: XRP going over $3.50 in 48 hours! Look what I found on YouTube , I doubt it!",WillFix7,8,27,6658,,"XRP Surges Past $0.60 as SEC Declines to Appeal: XRP going over $3.50 in 48 hours! Look what I found on YouTube , I doubt it!",Positive
Sat Sep 28 10:25:42 +0000 2024,$XRP Its time to pump,CryptoNewton,105,757,273432,,$XRP Its time to pump,Positive
Sat Sep 28 10:19:00 +0000 2024,"HUGE NEWS! James Wallis, VP for Central Bank Engagements at , just revealed that Central Banks are embracing for instant money transfers! Are we on the brink of $1,000+ per XRP? The future is looking bright!",CollinBrownXRP,124,462,11096,,"HUGE NEWS! James Wallis, VP for Central Bank Engagements at , just revealed that Central Banks are embracing for instant money transfers! Are we on the brink of $1,000+ per XRP? The future is looking bright!",Positive
Sat Sep 28 10:17:23 +0000 2024,Big news in the fintech world! 's CEO Brad Garlinghouse and co-founder Chris Larsen will grace the Federal Reserve event on Oct 22-23. Theyll discuss the future of tokenized assets and fintechs evolving landscape. This could be a massive boost for !,CollinBrownXRP,62,170,11096,,Big news in the fintech world! 's CEO Brad Garlinghouse and co-founder Chris Larsen will grace the Federal Reserve event on Oct 22-23. Theyll discuss the future of tokenized assets and fintechs evolving landscape. This could be a massive boost for !,Positive
Sat Sep 28 10:15:43 +0000 2024,$XRP getting very close to a massive breakout,Altcoin_Hero_,2,23,5563,,$XRP getting very close to a massive breakout,Positive
Sat Sep 28 08:50:00 +0000 2024,Expert  Says $XRP to Rip Higher as It Attempts Bullish Breakout 6 Times in 2 Months.,thecryptobasic,3,18,66717,,Expert Says $XRP to Rip Higher as It Attempts Bullish Breakout 6 Times in 2 Months.,Positive
Sat Sep 28 08:10:14 +0000 2024,XRP shoots past $0.60 !,WillFix7,5,12,6658,,XRP shoots past $0.60 !,Positive
Sat Sep 28 08:00:56 +0000 2024,"Every Saturday pump we had in the past months got retraced. $XRP though is pushing at resistance again , there will be one time that we break it and don't look back.",Doctor_Magic_,15,167,11127,,"Every Saturday pump we had in the past months got retraced. $XRP though is pushing at resistance again , there will be one time that we break it and don't look back.",Positive
Sat Sep 28 07:57:19 +0000 2024,$0.61 $XRP GET F*CKING READYYYYYYYYY,cryptoassetsguy,39,426,49827,,$0.61 $XRP GET F*CKING READYYYYYYYYY,Positive
Sat Sep 28 07:47:52 +0000 2024,"update and massive news Ledger's recent upgrades, ""fixEmptyDID"" and ""fixPreviousTxnID,"" aim to enhance efficiency and transaction tracking. The ""fixEmptyDID"" upgrade prevents the creation of empty DID entries, improving ledger space utilization. Meanwhile,",CollinBrownXRP,46,128,11096,,"update and massive news Ledger's recent upgrades, ""fixEmptyDID"" and ""fixPreviousTxnID,"" aim to enhance efficiency and transaction tracking. The ""fixEmptyDID"" upgrade prevents the creation of empty DID entries, improving ledger space utilization. Meanwhile,",Positive
Sat Sep 28 07:38:53 +0000 2024,"The Ledger just witnessed a record-breaking mint of RLUSD tokens, facilitated by Ripple. is making waves in the DeFi space!",strivex_,2,12,10590,False,"The Ledger just witnessed a record-breaking mint of RLUSD tokens, facilitated by Ripple. is making waves in the DeFi space!",Positive
Sat Sep 28 05:33:07 +0000 2024,X $XRP may not explode like others are going suddenly 20-30% but slowly it will become one of the best-performing Altcoins in the market. In the Uptober bull run XRP can rise at least 25%.,RemillioAzuki,47,238,2149,False,X $XRP may not explode like others are going suddenly 20-30% but slowly it will become one of the best-performing Altcoins in the market. In the Uptober bull run XRP can rise at least 25%.,Positive
Sat Sep 28 04:52:17 +0000 2024,"Just in: RLUSD Treasury has minted 300,000 .",CoinpediaNews,1,15,14266,False,"Just in: RLUSD Treasury has minted 300,000 .",Neutral
Sat Sep 28 03:47:56 +0000 2024,CRYPTO BREAKING1st TIME IN HISTORYBANKS ARE USING CRYPTO FOR COMMERCIAL PAPER LOANS!,CryptoHulk19,15,118,52592,False,CRYPTO BREAKING1st TIME IN HISTORYBANKS ARE USING CRYPTO FOR COMMERCIAL PAPER LOANS!,Positive
Sat Sep 28 03:38:54 +0000 2024,CRYPTO BREAKING OUTBANKS ARE NOW ALL JOINING CRYPTO FINTECH COMPANIES TO SELL CRYPTO SOON!,CryptoHulk19,32,157,52592,False,CRYPTO BREAKING OUTBANKS ARE NOW ALL JOINING CRYPTO FINTECH COMPANIES TO SELL CRYPTO SOON!,Positive
Sat Sep 28 03:31:05 +0000 2024,BREAKINGMYSTERY CRYPTO COMPANY OUT OF NOWHERE SHOWS UP BACKED BY A GIANT!!,CryptoHulk19,19,98,52592,False,BREAKINGMYSTERY CRYPTO COMPANY OUT OF NOWHERE SHOWS UP BACKED BY A GIANT!!,Positive
Sat Sep 28 03:22:37 +0000 2024,CRYPTO WARNINGETHEREUM IN CRISIS MODE AGAINGET OUT NOW!,CryptoHulk19,56,247,52592,False,CRYPTO WARNINGETHEREUM IN CRISIS MODE AGAINGET OUT NOW!,Negative
Sat Sep 28 03:14:39 +0000 2024,BLACKROCKWORLDS BIGGEST INVESTMENT BANK LAUNCHES STABLECOIN ON THIS CRYPTO!!,CryptoHulk19,33,184,52592,False,BLACKROCKWORLDS BIGGEST INVESTMENT BANK LAUNCHES STABLECOIN ON THIS CRYPTO!!,Positive
Sat Sep 28 02:40:56 +0000 2024,"Bullish Accumulating T-bills is a smart way to earn money, as theyre low-risk government securities sold at a discount and pay full value at maturity. beating in issuing T-bills is exciting because it highlights Polkadots growth in the space,",LeaderAlphaNews,5,21,18806,False,"Bullish Accumulating T-bills is a smart way to earn money, as theyre low-risk government securities sold at a discount and pay full value at maturity. beating in issuing T-bills is exciting because it highlights Polkadots growth in the space,",Positive
Sat Sep 28 02:12:53 +0000 2024,"CEO Brad Garlinghouse and cofounder Chris Larsen are set to appear at the eighth annual fintech conference hosted by the Federal Reserve Bank of Philadelphia. It will take place on Oct. 22 and Oct. 23. The conference will focus on such topics as tokenized deposits, the",RemillioAzuki,24,102,2149,False,"CEO Brad Garlinghouse and cofounder Chris Larsen are set to appear at the eighth annual fintech conference hosted by the Federal Reserve Bank of Philadelphia. It will take place on Oct. 22 and Oct. 23. The conference will focus on such topics as tokenized deposits, the",Neutral
Sat Sep 28 02:12:40 +0000 2024,HONG KONG BIG CRYPTO PLANS &amp; SEC MANGO MARKETS SETTLEMENT! WATCH,ThinkingCrypto1,5,15,134263,False,HONG KONG BIG CRYPTO PLANS &amp; SEC MANGO MARKETS SETTLEMENT! WATCH,Neutral
Sat Sep 28 01:44:09 +0000 2024,XRP vs SEC No appeal ! Here is why I think that,WillFix7,40,169,6657,False,XRP vs SEC No appeal ! Here is why I think that,Positive
Sat Sep 28 01:40:51 +0000 2024,"XRP will have a Culture shift, $10,000 XRP coming!",WillFix7,96,457,6657,False,"XRP will have a Culture shift, $10,000 XRP coming!",Positive
Sat Sep 28 00:41:16 +0000 2024,BREAKING Ripple CEO Brad Garlinghouse and Executive Chairman Chris Larsen are scheduled to speak at the Federal Reserve Bank of Philadelphia!,25hoursawake,73,304,30190,False,BREAKING Ripple CEO Brad Garlinghouse and Executive Chairman Chris Larsen are scheduled to speak at the Federal Reserve Bank of Philadelphia!,Positive
Fri Sep 27 20:21:28 +0000 2024,"""THERE MAY BE OTHER ASSETS JUST BESIDES &amp; THAT WOULD QUALIFY FOR THE JURISDICTION OF THE COMMODITY FUTURES TRADING COMMISSION"" $XRP",subjectiveviews,36,123,17911,False,"""THERE MAY BE OTHER ASSETS JUST BESIDES &amp; THAT WOULD QUALIFY FOR THE JURISDICTION OF THE COMMODITY FUTURES TRADING COMMISSION"" $XRP",Neutral
Fri Sep 27 20:10:56 +0000 2024,"N E W E P I S O D E ! ! PRES SAYS LAWSUIT HAS ENDED = $327,000 ON PRIVATE LEDGER FLOOD OF LIQUIDITY = $TRILLIONS FIX MONEY SYSTEM IN 24 HRS N E W E P I S O D E ! ! Special thanks to: ",eXonX589,70,262,5667,False,"N E W E P I S O D E ! ! PRES SAYS LAWSUIT HAS ENDED = $327,000 ON PRIVATE LEDGER FLOOD OF LIQUIDITY = $TRILLIONS FIX MONEY SYSTEM IN 24 HRS N E W E P I S O D E ! ! Special thanks to:",Positive
Fri Sep 27 16:18:40 +0000 2024,"SHI may be launched soon, cofounder's alleged 30 million $XRP move worries community, another Satoshi-era wallet gets activated: Crypto news digest by $BTC",Utoday_en,14,59,95214,,"SHI may be launched soon, cofounder's alleged 30 million $XRP move worries community, another Satoshi-era wallet gets activated: Crypto news digest by $BTC",Negative
Fri Sep 27 16:03:19 +0000 2024," Past 24 Hours $BTC $66,263.96 (+1.4%) $ETH $2,700.62 (+1.7%) $XRP $0.59 (-0.4%) $ADA $0.41 (+1.0%) $SOL $159.79 (+1.7%) $DOGE $0.13 (+8.6%) $ATOM $5.16 (+2.3%) $SHIB $0.0000211 (+21.1%)",ai_battles_,0,4,82,,"Past 24 Hours $BTC $66,263.96 (+1.4%) $ETH $2,700.62 (+1.7%) $XRP $0.59 (-0.4%) $ADA $0.41 (+1.0%) $SOL $159.79 (+1.7%) $DOGE $0.13 (+8.6%) $ATOM $5.16 (+2.3%) $SHIB $0.0000211 (+21.1%)",Neutral
Fri Sep 27 15:11:09 +0000 2024,"BREAKING: SEC WILL 'PROBABLY' APPEAL JUDGE TORRES 2023 $XRP RULING! SEC vs. UPDATE, BREAKOUT IS HERE, USA &amp; CHINA RATE CUT! w/ ",Coachjv_,23,61,195097,,"BREAKING: SEC WILL 'PROBABLY' APPEAL JUDGE TORRES 2023 $XRP RULING! SEC vs. UPDATE, BREAKOUT IS HERE, USA &amp; CHINA RATE CUT! w/",Negative
Fri Sep 27 15:11:09 +0000 2024,"BREAKING: SEC WILL 'PROBABLY' APPEAL JUDGE TORRES 2023 $XRP RULING! SEC vs. UPDATE, BREAKOUT IS HERE, USA &amp; CHINA RATE CUT! w/ ",AbsGMCrypto,17,38,61290,,"BREAKING: SEC WILL 'PROBABLY' APPEAL JUDGE TORRES 2023 $XRP RULING! SEC vs. UPDATE, BREAKOUT IS HERE, USA &amp; CHINA RATE CUT! w/",Negative
Fri Sep 27 14:47:09 +0000 2024,BREAKING NEWS I know a guy whos cousins sisters brother use to collect the trash at the SEC.. He would glue all their shredded docs back together and they clearly stated they knew was not a security and JP Morgan made them sue just to keep the American,james_six8jay,2,12,13661,,BREAKING NEWS I know a guy whos cousins sisters brother use to collect the trash at the SEC.. He would glue all their shredded docs back together and they clearly stated they knew was not a security and JP Morgan made them sue just to keep the American,Negative
